Variable:,location_id,ihme_loc_id,location_name,indicator_id,indicator_name,measure,year_id,val,lower,upper,parent_location,sdi_quintile,super_region_name,region_name
Label:,Location ID,Abbreviated location name,Location name,Indicator ID,Indicator name,Measure,Year,Mean value,95% uncertainty interval (lower bound),95% uncertainty interval (upper bound),"Name of the ""parent"" location for subnational locations",SDI quintile,GBD super-region name,GBD region name
Value coding:,1,G,Global,849,Non-melanoma skin cancer (squamous-cell carcinoma),Index value (0 to 100),1990,,,,Global,High SDI,"Southeast Asia, East Asia, and Oceania South Asia",East Asia
,4,S6,"Southeast Asia, East Asia, and Oceania",708,Adverse effects of medical treatment,,1995,,,,"Southeast Asia, East Asia, and Oceania",High-middle SDI,"Central Europe, Eastern Europe, and Central Asia",Southeast Asia
,31,S2,"Central Europe, Eastern Europe, and Central Asia",643,Congenital heart anomalies,,2000,,,,"Central Europe, Eastern Europe, and Central Asia",Middle SDI,High-income,Oceania
,64,S1,High-income,589,Chronic kidney disease,,2005,,,,High-income,Low-middle SDI,Latin America and Caribbean,Central Asia
,103,S7,Latin America and Caribbean,587,Diabetes mellitus,,2010,,,,Latin America and Caribbean,Low SDI,North Africa and Middle East,Central Europe
,137,S4,North Africa and Middle East,545,Epilepsy,,2016,,,,North Africa and Middle East,,Sub-Saharan Africa,Eastern Europe
,158,S5,South Asia,534,Gallbladder and biliary diseases,,,,,,South Asia,,,High-income Asia Pacific
,166,S3,Sub-Saharan Africa,531,"Inguinal, femoral, and abdominal hernia",,,,,,Sub-Saharan Africa,,,Australasia
,5,R3,East Asia,529,Appendicitis,,,,,,East Asia,,,Western Europe
,9,R5,Southeast Asia,527,Peptic ulcer disease,,,,,,Southeast Asia,,,Southern Latin America
,21,R17,Oceania,508,Chronic respiratory diseases,,,,,,Oceania,,,High-income North America
,6,CHN,China,498,Hypertensive heart disease,,,,,,China,,,Caribbean
,7,PRK,North Korea,494,Cerebrovascular disease,,,,,,North Korea,,,Andean Latin America
,8,TWN,Taiwan,493,Ischemic heart disease,,,,,,Taiwan,,,Central Latin America
,491,CHN_491,Anhui,492,Rheumatic heart disease,,,,,,Cambodia,,,Tropical Latin America
,492,CHN_492,Beijing,487,Leukemia,,,,,,Indonesia,,,North Africa and Middle East
,493,CHN_493,Chongqing,484,Hodgkin lymphoma,,,,,,Laos,,,South Asia
,494,CHN_494,Fujian,468,Testicular cancer,,,,,,Malaysia,,,Central Sub-Saharan Africa
,495,CHN_495,Gansu,441,Colon and rectum cancer,,,,,,Maldives,,,Eastern Sub-Saharan Africa
,496,CHN_496,Guangdong,435,Uterine cancer,,,,,,Mauritius,,,Southern Sub-Saharan Africa
,497,CHN_497,Guangxi,432,Cervical cancer,,,,,,Myanmar,,,Western Sub-Saharan Africa
,498,CHN_498,Guizhou,429,Breast cancer,,,,,,Philippines,,,
,499,CHN_499,Hainan,380,Neonatal disorders,,,,,,Sri Lanka,,,
,500,CHN_500,Hebei,366,Maternal disorders,,,,,,Seychelles,,,
,501,CHN_501,Heilongjiang,341,Measles,,,,,,Thailand,,,
,502,CHN_502,Henan,340,Tetanus,,,,,,Timor-Leste,,,
,354,CHN_354,Hong Kong Special Administrative Region of China,339,Whooping cough,,,,,,Vietnam,,,
,503,CHN_503,Hubei,338,Diphtheria,,,,,,American Samoa,,,
,504,CHN_504,Hunan,328,Upper respiratory infections,,,,,,Federated States of Micronesia,,,
,505,CHN_505,Inner Mongolia,322,Lower respiratory infections,,,,,,Fiji,,,
,506,CHN_506,Jiangsu,302,Diarrheal diseases,,,,,,Guam,,,
,507,CHN_507,Jiangxi,297,Tuberculosis,,,,,,Kiribati,,,
,508,CHN_508,Jilin,100,Healthcare Access and Quality Index,,,,,,Marshall Islands,,,
,509,CHN_509,Liaoning,,,,,,,,Northern Mariana Islands,,,
,361,CHN_361,Macao Special Administrative Region of China,,,,,,,,Papua New Guinea,,,
,510,CHN_510,Ningxia,,,,,,,,Samoa,,,
,511,CHN_511,Qinghai,,,,,,,,Solomon Islands,,,
,512,CHN_512,Shaanxi,,,,,,,,Tonga,,,
,513,CHN_513,Shandong,,,,,,,,Vanuatu,,,
,514,CHN_514,Shanghai,,,,,,,,Central Asia,,,
,515,CHN_515,Shanxi,,,,,,,,Central Europe,,,
,516,CHN_516,Sichuan,,,,,,,,Eastern Europe,,,
,517,CHN_517,Tianjin,,,,,,,,Armenia,,,
,518,CHN_518,Tibet,,,,,,,,Azerbaijan,,,
,519,CHN_519,Xinjiang,,,,,,,,Georgia,,,
,520,CHN_520,Yunnan,,,,,,,,Kazakhstan,,,
,521,CHN_521,Zhejiang,,,,,,,,Kyrgyzstan,,,
,10,KHM,Cambodia,,,,,,,,Mongolia,,,
,11,IDN,Indonesia,,,,,,,,Tajikistan,,,
,12,LAO,Laos,,,,,,,,Turkmenistan,,,
,13,MYS,Malaysia,,,,,,,,Uzbekistan,,,
,14,MDV,Maldives,,,,,,,,Albania,,,
,183,MUS,Mauritius,,,,,,,,Bosnia and Herzegovina,,,
,15,MMR,Myanmar,,,,,,,,Bulgaria,,,
,16,PHL,Philippines,,,,,,,,Croatia,,,
,17,LKA,Sri Lanka,,,,,,,,Czech Republic,,,
,186,SYC,Seychelles,,,,,,,,Hungary,,,
,18,THA,Thailand,,,,,,,,Macedonia,,,
,19,TLS,Timor-Leste,,,,,,,,Montenegro,,,
,20,VNM,Vietnam,,,,,,,,Poland,,,
,298,ASM,American Samoa,,,,,,,,Romania,,,
,25,FSM,Federated States of Micronesia,,,,,,,,Serbia,,,
,22,FJI,Fiji,,,,,,,,Slovakia,,,
,351,GUM,Guam,,,,,,,,Slovenia,,,
,23,KIR,Kiribati,,,,,,,,Belarus,,,
,24,MHL,Marshall Islands,,,,,,,,Estonia,,,
,376,MNP,Northern Mariana Islands,,,,,,,,Latvia,,,
,26,PNG,Papua New Guinea,,,,,,,,Lithuania,,,
,27,WSM,Samoa,,,,,,,,Moldova,,,
,28,SLB,Solomon Islands,,,,,,,,Russian Federation,,,
,29,TON,Tonga,,,,,,,,Ukraine,,,
,30,VUT,Vanuatu,,,,,,,,High-income Asia Pacific,,,
,32,R2,Central Asia,,,,,,,,Australasia,,,
,42,R8,Central Europe,,,,,,,,Western Europe,,,
,56,R9,Eastern Europe,,,,,,,,Southern Latin America,,,
,33,ARM,Armenia,,,,,,,,High-income North America,,,
,34,AZE,Azerbaijan,,,,,,,,Brunei,,,
,35,GEO,Georgia,,,,,,,,Japan,,,
,36,KAZ,Kazakhstan,,,,,,,,South Korea,,,
,37,KGZ,Kyrgyzstan,,,,,,,,Singapore,,,
,38,MNG,Mongolia,,,,,,,,Australia,,,
,39,TJK,Tajikistan,,,,,,,,New Zealand,,,
,40,TKM,Turkmenistan,,,,,,,,Andorra,,,
,41,UZB,Uzbekistan,,,,,,,,Austria,,,
,43,ALB,Albania,,,,,,,,Belgium,,,
,44,BIH,Bosnia and Herzegovina,,,,,,,,Cyprus,,,
,45,BGR,Bulgaria,,,,,,,,Denmark,,,
,46,HRV,Croatia,,,,,,,,Finland,,,
,47,CZE,Czech Republic,,,,,,,,France,,,
,48,HUN,Hungary,,,,,,,,Germany,,,
,49,MKD,Macedonia,,,,,,,,Greece,,,
,50,MNE,Montenegro,,,,,,,,Iceland,,,
,51,POL,Poland,,,,,,,,Ireland,,,
,52,ROU,Romania,,,,,,,,Israel,,,
,53,SRB,Serbia,,,,,,,,Italy,,,
,54,SVK,Slovakia,,,,,,,,Luxembourg,,,
,55,SVN,Slovenia,,,,,,,,Malta,,,
,57,BLR,Belarus,,,,,,,,Netherlands,,,
,58,EST,Estonia,,,,,,,,Norway,,,
,59,LVA,Latvia,,,,,,,,Portugal,,,
,60,LTU,Lithuania,,,,,,,,Spain,,,
,61,MDA,Moldova,,,,,,,,Sweden,,,
,62,RUS,Russian Federation,,,,,,,,Switzerland,,,
,63,UKR,Ukraine,,,,,,,,United Kingdom,,,
,65,R1,High-income Asia Pacific,,,,,,,,Argentina,,,
,70,R6,Australasia,,,,,,,,Chile,,,
,73,R10,Western Europe,,,,,,,,Uruguay,,,
,96,R13,Southern Latin America,,,,,,,,Canada,,,
,100,R16,High-income North America,,,,,,,,Greenland,,,
,66,BRN,Brunei,,,,,,,,United States,,,
,67,JPN,Japan,,,,,,,,Caribbean,,,
,68,KOR,South Korea,,,,,,,,Andean Latin America,,,
,69,SGP,Singapore,,,,,,,,Central Latin America,,,
,35446,JPN_35446,Aichi,,,,,,,,Tropical Latin America,,,
,35428,JPN_35428,Akita,,,,,,,,Antigua and Barbuda,,,
,35425,JPN_35425,Aomori,,,,,,,,The Bahamas,,,
,35435,JPN_35435,Chiba,,,,,,,,Barbados,,,
,35461,JPN_35461,Ehime,,,,,,,,Belize,,,
,35441,JPN_35441,Fukui,,,,,,,,Bermuda,,,
,35463,JPN_35463,Fukuoka,,,,,,,,Cuba,,,
,35430,JPN_35430,Fukushima,,,,,,,,Dominica,,,
,35444,JPN_35444,Gifu,,,,,,,,Dominican Republic,,,
,35433,JPN_35433,Gunma,,,,,,,,Grenada,,,
,35457,JPN_35457,Hiroshima,,,,,,,,Guyana,,,
,35424,JPN_35424,Hokkaido,,,,,,,,Haiti,,,
,35451,JPN_35451,Hyogo,,,,,,,,Jamaica,,,
,35431,JPN_35431,Ibaraki,,,,,,,,Puerto Rico,,,
,35440,JPN_35440,Ishikawa,,,,,,,,Saint Lucia,,,
,35426,JPN_35426,Iwate,,,,,,,,Saint Vincent and the Grenadines,,,
,35460,JPN_35460,Kagawa,,,,,,,,Suriname,,,
,35469,JPN_35469,Kagoshima,,,,,,,,Trinidad and Tobago,,,
,35437,JPN_35437,Kanagawa,,,,,,,,"Virgin Islands, U.S.",,,
,35462,JPN_35462,Kochi,,,,,,,,Bolivia,,,
,35466,JPN_35466,Kumamoto,,,,,,,,Ecuador,,,
,35449,JPN_35449,Kyoto,,,,,,,,Peru,,,
,35447,JPN_35447,Mie,,,,,,,,Colombia,,,
,35427,JPN_35427,Miyagi,,,,,,,,Costa Rica,,,
,35468,JPN_35468,Miyazaki,,,,,,,,El Salvador,,,
,35443,JPN_35443,Nagano,,,,,,,,Guatemala,,,
,35465,JPN_35465,Nagasaki,,,,,,,,Honduras,,,
,35452,JPN_35452,Nara,,,,,,,,Mexico,,,
,35438,JPN_35438,Niigata,,,,,,,,Nicaragua,,,
,35467,JPN_35467,Oita,,,,,,,,Panama,,,
,35456,JPN_35456,Okayama,,,,,,,,Venezuela,,,
,35470,JPN_35470,Okinawa,,,,,,,,Brazil,,,
,35450,JPN_35450,Osaka,,,,,,,,Paraguay,,,
,35464,JPN_35464,Saga,,,,,,,,Afghanistan,,,
,35434,JPN_35434,Saitama,,,,,,,,Algeria,,,
,35448,JPN_35448,Shiga,,,,,,,,Bahrain,,,
,35455,JPN_35455,Shimane,,,,,,,,Egypt,,,
,35445,JPN_35445,Shizuoka,,,,,,,,Iran,,,
,35432,JPN_35432,Tochigi,,,,,,,,Iraq,,,
,35459,JPN_35459,Tokushima,,,,,,,,Jordan,,,
,35436,JPN_35436,Tokyo,,,,,,,,Kuwait,,,
,35454,JPN_35454,Tottori,,,,,,,,Lebanon,,,
,35439,JPN_35439,Toyama,,,,,,,,Libya,,,
,35453,JPN_35453,Wakayama,,,,,,,,Morocco,,,
,35429,JPN_35429,Yamagata,,,,,,,,Palestine,,,
,35458,JPN_35458,Yamaguchi,,,,,,,,Oman,,,
,35442,JPN_35442,Yamanashi,,,,,,,,Qatar,,,
,71,AUS,Australia,,,,,,,,Saudi Arabia,,,
,72,NZL,New Zealand,,,,,,,,Sudan,,,
,74,AND,Andorra,,,,,,,,Syria,,,
,75,AUT,Austria,,,,,,,,Tunisia,,,
,76,BEL,Belgium,,,,,,,,Turkey,,,
,77,CYP,Cyprus,,,,,,,,United Arab Emirates,,,
,78,DNK,Denmark,,,,,,,,Yemen,,,
,79,FIN,Finland,,,,,,,,Bangladesh,,,
,80,FRA,France,,,,,,,,Bhutan,,,
,81,DEU,Germany,,,,,,,,India,,,
,82,GRC,Greece,,,,,,,,Nepal,,,
,83,ISL,Iceland,,,,,,,,Pakistan,,,
,84,IRL,Ireland,,,,,,,,Central Sub-Saharan Africa,,,
,85,ISR,Israel,,,,,,,,Eastern Sub-Saharan Africa,,,
,86,ITA,Italy,,,,,,,,Southern Sub-Saharan Africa,,,
,87,LUX,Luxembourg,,,,,,,,Western Sub-Saharan Africa,,,
,88,MLT,Malta,,,,,,,,Angola,,,
,89,NLD,Netherlands,,,,,,,,Central African Republic,,,
,90,NOR,Norway,,,,,,,,Congo,,,
,91,PRT,Portugal,,,,,,,,Democratic Republic of the Congo,,,
,92,ESP,Spain,,,,,,,,Equatorial Guinea,,,
,93,SWE,Sweden,,,,,,,,Gabon,,,
,94,CHE,Switzerland,,,,,,,,Burundi,,,
,95,GBR,United Kingdom,,,,,,,,Comoros,,,
,4749,GBR_4749,England,,,,,,,,Djibouti,,,
,433,GBR_433,Northern Ireland,,,,,,,,Eritrea,,,
,434,GBR_434,Scotland,,,,,,,,Ethiopia,,,
,4636,GBR_4636,Wales,,,,,,,,Kenya,,,
,97,ARG,Argentina,,,,,,,,Madagascar,,,
,98,CHL,Chile,,,,,,,,Malawi,,,
,99,URY,Uruguay,,,,,,,,Mozambique,,,
,101,CAN,Canada,,,,,,,,Rwanda,,,
,349,GRL,Greenland,,,,,,,,Somalia,,,
,102,USA,United States,,,,,,,,South Sudan,,,
,523,USA_523,Alabama,,,,,,,,Tanzania,,,
,524,USA_524,Alaska,,,,,,,,Uganda,,,
,525,USA_525,Arizona,,,,,,,,Zambia,,,
,526,USA_526,Arkansas,,,,,,,,Botswana,,,
,527,USA_527,California,,,,,,,,Lesotho,,,
,528,USA_528,Colorado,,,,,,,,Namibia,,,
,529,USA_529,Connecticut,,,,,,,,South Africa,,,
,530,USA_530,Delaware,,,,,,,,Swaziland,,,
,531,USA_531,District of Columbia,,,,,,,,Zimbabwe,,,
,532,USA_532,Florida,,,,,,,,Benin,,,
,533,USA_533,Georgia,,,,,,,,Burkina Faso,,,
,534,USA_534,Hawaii,,,,,,,,Cameroon,,,
,535,USA_535,Idaho,,,,,,,,Cape Verde,,,
,536,USA_536,Illinois,,,,,,,,Chad,,,
,537,USA_537,Indiana,,,,,,,,Cote d'Ivoire,,,
,538,USA_538,Iowa,,,,,,,,The Gambia,,,
,539,USA_539,Kansas,,,,,,,,Ghana,,,
,540,USA_540,Kentucky,,,,,,,,Guinea,,,
,541,USA_541,Louisiana,,,,,,,,Guinea-Bissau,,,
,542,USA_542,Maine,,,,,,,,Liberia,,,
,543,USA_543,Maryland,,,,,,,,Mali,,,
,544,USA_544,Massachusetts,,,,,,,,Mauritania,,,
,545,USA_545,Michigan,,,,,,,,Niger,,,
,546,USA_546,Minnesota,,,,,,,,Nigeria,,,
,547,USA_547,Mississippi,,,,,,,,Sao Tome and Principe,,,
,548,USA_548,Missouri,,,,,,,,Senegal,,,
,549,USA_549,Montana,,,,,,,,Sierra Leone,,,
,550,USA_550,Nebraska,,,,,,,,Togo,,,
,551,USA_551,Nevada,,,,,,,,England,,,
,552,USA_552,New Hampshire,,,,,,,,,,,
,553,USA_553,New Jersey,,,,,,,,,,,
,554,USA_554,New Mexico,,,,,,,,,,,
,555,USA_555,New York,,,,,,,,,,,
,556,USA_556,North Carolina,,,,,,,,,,,
,557,USA_557,North Dakota,,,,,,,,,,,
,558,USA_558,Ohio,,,,,,,,,,,
,559,USA_559,Oklahoma,,,,,,,,,,,
,560,USA_560,Oregon,,,,,,,,,,,
,561,USA_561,Pennsylvania,,,,,,,,,,,
,562,USA_562,Rhode Island,,,,,,,,,,,
,563,USA_563,South Carolina,,,,,,,,,,,
,564,USA_564,South Dakota,,,,,,,,,,,
,565,USA_565,Tennessee,,,,,,,,,,,
,566,USA_566,Texas,,,,,,,,,,,
,567,USA_567,Utah,,,,,,,,,,,
,568,USA_568,Vermont,,,,,,,,,,,
,569,USA_569,Virginia,,,,,,,,,,,
,570,USA_570,Washington,,,,,,,,,,,
,571,USA_571,West Virginia,,,,,,,,,,,
,572,USA_572,Wisconsin,,,,,,,,,,,
,573,USA_573,Wyoming,,,,,,,,,,,
,104,R7,Caribbean,,,,,,,,,,,
,120,R11,Andean Latin America,,,,,,,,,,,
,124,R12,Central Latin America,,,,,,,,,,,
,134,R14,Tropical Latin America,,,,,,,,,,,
,105,ATG,Antigua and Barbuda,,,,,,,,,,,
,106,BHS,The Bahamas,,,,,,,,,,,
,107,BRB,Barbados,,,,,,,,,,,
,108,BLZ,Belize,,,,,,,,,,,
,305,BMU,Bermuda,,,,,,,,,,,
,109,CUB,Cuba,,,,,,,,,,,
,110,DMA,Dominica,,,,,,,,,,,
,111,DOM,Dominican Republic,,,,,,,,,,,
,112,GRD,Grenada,,,,,,,,,,,
,113,GUY,Guyana,,,,,,,,,,,
,114,HTI,Haiti,,,,,,,,,,,
,115,JAM,Jamaica,,,,,,,,,,,
,385,PRI,Puerto Rico,,,,,,,,,,,
,116,LCA,Saint Lucia,,,,,,,,,,,
,117,VCT,Saint Vincent and the Grenadines,,,,,,,,,,,
,118,SUR,Suriname,,,,,,,,,,,
,119,TTO,Trinidad and Tobago,,,,,,,,,,,
,422,VIR,"Virgin Islands, U.S.",,,,,,,,,,,
,121,BOL,Bolivia,,,,,,,,,,,
,122,ECU,Ecuador,,,,,,,,,,,
,123,PER,Peru,,,,,,,,,,,
,125,COL,Colombia,,,,,,,,,,,
,126,CRI,Costa Rica,,,,,,,,,,,
,127,SLV,El Salvador,,,,,,,,,,,
,128,GTM,Guatemala,,,,,,,,,,,
,129,HND,Honduras,,,,,,,,,,,
,130,MEX,Mexico,,,,,,,,,,,
,131,NIC,Nicaragua,,,,,,,,,,,
,132,PAN,Panama,,,,,,,,,,,
,133,VEN,Venezuela,,,,,,,,,,,
,4643,MEX_4643,Aguascalientes,,,,,,,,,,,
,4644,MEX_4644,Baja California,,,,,,,,,,,
,4645,MEX_4645,Baja California Sur,,,,,,,,,,,
,4646,MEX_4646,Campeche,,,,,,,,,,,
,4649,MEX_4649,Chiapas,,,,,,,,,,,
,4650,MEX_4650,Chihuahua,,,,,,,,,,,
,4647,MEX_4647,Coahuila,,,,,,,,,,,
,4648,MEX_4648,Colima,,,,,,,,,,,
,4651,MEX_4651,Distrito Federal,,,,,,,,,,,
,4652,MEX_4652,Durango,,,,,,,,,,,
,4653,MEX_4653,Guanajuato,,,,,,,,,,,
,4654,MEX_4654,Guerrero,,,,,,,,,,,
,4655,MEX_4655,Hidalgo,,,,,,,,,,,
,4656,MEX_4656,Jalisco,,,,,,,,,,,
,4657,MEX_4657,Mexico,,,,,,,,,,,
,4658,MEX_4658,Michoacan de Ocampo,,,,,,,,,,,
,4659,MEX_4659,Morelos,,,,,,,,,,,
,4660,MEX_4660,Nayarit,,,,,,,,,,,
,4661,MEX_4661,Nuevo Leon,,,,,,,,,,,
,4662,MEX_4662,Oaxaca,,,,,,,,,,,
,4663,MEX_4663,Puebla,,,,,,,,,,,
,4664,MEX_4664,Queretaro,,,,,,,,,,,
,4665,MEX_4665,Quintana Roo,,,,,,,,,,,
,4666,MEX_4666,San Luis Potosi,,,,,,,,,,,
,4667,MEX_4667,Sinaloa,,,,,,,,,,,
,4668,MEX_4668,Sonora,,,,,,,,,,,
,4669,MEX_4669,Tabasco,,,,,,,,,,,
,4670,MEX_4670,Tamaulipas,,,,,,,,,,,
,4671,MEX_4671,Tlaxcala,,,,,,,,,,,
,4672,MEX_4672,Veracruz de Ignacio de la Llave,,,,,,,,,,,
,4673,MEX_4673,Yucatan,,,,,,,,,,,
,4674,MEX_4674,Zacatecas,,,,,,,,,,,
,135,BRA,Brazil,,,,,,,,,,,
,136,PRY,Paraguay,,,,,,,,,,,
,4750,BRA_4750,Acre,,,,,,,,,,,
,4751,BRA_4751,Alagoas,,,,,,,,,,,
,4753,BRA_4753,Amapa,,,,,,,,,,,
,4752,BRA_4752,Amazonas,,,,,,,,,,,
,4754,BRA_4754,Bahia,,,,,,,,,,,
,4755,BRA_4755,Ceara,,,,,,,,,,,
,4756,BRA_4756,Distrito Federal,,,,,,,,,,,
,4757,BRA_4757,Espirito Santo,,,,,,,,,,,
,4758,BRA_4758,Goias,,,,,,,,,,,
,4759,BRA_4759,Maranhao,,,,,,,,,,,
,4762,BRA_4762,Mato Grosso,,,,,,,,,,,
,4761,BRA_4761,Mato Grosso do Sul,,,,,,,,,,,
,4760,BRA_4760,Minas Gerais,,,,,,,,,,,
,4763,BRA_4763,Para,,,,,,,,,,,
,4764,BRA_4764,Paraiba,,,,,,,,,,,
,4765,BRA_4765,Parana,,,,,,,,,,,
,4766,BRA_4766,Pernambuco,,,,,,,,,,,
,4767,BRA_4767,Piaui,,,,,,,,,,,
,4768,BRA_4768,Rio de Janeiro,,,,,,,,,,,
,4769,BRA_4769,Rio Grande do Norte,,,,,,,,,,,
,4772,BRA_4772,Rio Grande do Sul,,,,,,,,,,,
,4770,BRA_4770,Rondonia,,,,,,,,,,,
,4771,BRA_4771,Roraima,,,,,,,,,,,
,4773,BRA_4773,Santa Catarina,,,,,,,,,,,
,4775,BRA_4775,Sao Paulo,,,,,,,,,,,
,4774,BRA_4774,Sergipe,,,,,,,,,,,
,4776,BRA_4776,Tocantins,,,,,,,,,,,
,138,R15,North Africa and Middle East,,,,,,,,,,,
,160,AFG,Afghanistan,,,,,,,,,,,
,139,DZA,Algeria,,,,,,,,,,,
,140,BHR,Bahrain,,,,,,,,,,,
,141,EGY,Egypt,,,,,,,,,,,
,142,IRN,Iran,,,,,,,,,,,
,143,IRQ,Iraq,,,,,,,,,,,
,144,JOR,Jordan,,,,,,,,,,,
,145,KWT,Kuwait,,,,,,,,,,,
,146,LBN,Lebanon,,,,,,,,,,,
,147,LBY,Libya,,,,,,,,,,,
,148,MAR,Morocco,,,,,,,,,,,
,149,PSE,Palestine,,,,,,,,,,,
,150,OMN,Oman,,,,,,,,,,,
,151,QAT,Qatar,,,,,,,,,,,
,152,SAU,Saudi Arabia,,,,,,,,,,,
,522,SDN,Sudan,,,,,,,,,,,
,153,SYR,Syria,,,,,,,,,,,
,154,TUN,Tunisia,,,,,,,,,,,
,155,TUR,Turkey,,,,,,,,,,,
,156,ARE,United Arab Emirates,,,,,,,,,,,
,157,YEM,Yemen,,,,,,,,,,,
,159,R4,South Asia,,,,,,,,,,,
,161,BGD,Bangladesh,,,,,,,,,,,
,162,BTN,Bhutan,,,,,,,,,,,
,163,IND,India,,,,,,,,,,,
,164,NPL,Nepal,,,,,,,,,,,
,165,PAK,Pakistan,,,,,,,,,,,
,4841,IND_4841,Andhra Pradesh,,,,,,,,,,,
,4842,IND_4842,Arunachal Pradesh,,,,,,,,,,,
,4843,IND_4843,Assam,,,,,,,,,,,
,4844,IND_4844,Bihar,,,,,,,,,,,
,4846,IND_4846,Chhattisgarh,,,,,,,,,,,
,4849,IND_4849,Delhi,,,,,,,,,,,
,4850,IND_4850,Goa,,,,,,,,,,,
,4851,IND_4851,Gujarat,,,,,,,,,,,
,4852,IND_4852,Haryana,,,,,,,,,,,
,4853,IND_4853,Himachal Pradesh,,,,,,,,,,,
,4854,IND_4854,Jammu and Kashmir,,,,,,,,,,,
,4855,IND_4855,Jharkhand,,,,,,,,,,,
,4856,IND_4856,Karnataka,,,,,,,,,,,
,4857,IND_4857,Kerala,,,,,,,,,,,
,4859,IND_4859,Madhya Pradesh,,,,,,,,,,,
,4860,IND_4860,Maharashtra,,,,,,,,,,,
,4861,IND_4861,Manipur,,,,,,,,,,,
,4862,IND_4862,Meghalaya,,,,,,,,,,,
,4863,IND_4863,Mizoram,,,,,,,,,,,
,4864,IND_4864,Nagaland,,,,,,,,,,,
,4865,IND_4865,Odisha,,,,,,,,,,,
,4867,IND_4867,Punjab,,,,,,,,,,,
,4868,IND_4868,Rajasthan,,,,,,,,,,,
,4869,IND_4869,Sikkim,,,,,,,,,,,
,4870,IND_4870,Tamil Nadu,,,,,,,,,,,
,4871,IND_4871,Telangana,,,,,,,,,,,
,4872,IND_4872,Tripura,,,,,,,,,,,
,4873,IND_4873,Uttar Pradesh,,,,,,,,,,,
,4874,IND_4874,Uttarakhand,,,,,,,,,,,
,4875,IND_4875,West Bengal,,,,,,,,,,,
,44538,IND_44538,Union Territories other than Delhi,,,,,,,,,,,
,167,R18,Central Sub-Saharan Africa,,,,,,,,,,,
,174,R19,Eastern Sub-Saharan Africa,,,,,,,,,,,
,192,R20,Southern Sub-Saharan Africa,,,,,,,,,,,
,199,R21,Western Sub-Saharan Africa,,,,,,,,,,,
,168,AGO,Angola,,,,,,,,,,,
,169,CAF,Central African Republic,,,,,,,,,,,
,170,COG,Congo,,,,,,,,,,,
,171,COD,Democratic Republic of the Congo,,,,,,,,,,,
,172,GNQ,Equatorial Guinea,,,,,,,,,,,
,173,GAB,Gabon,,,,,,,,,,,
,175,BDI,Burundi,,,,,,,,,,,
,176,COM,Comoros,,,,,,,,,,,
,177,DJI,Djibouti,,,,,,,,,,,
,178,ERI,Eritrea,,,,,,,,,,,
,179,ETH,Ethiopia,,,,,,,,,,,
,180,KEN,Kenya,,,,,,,,,,,
,181,MDG,Madagascar,,,,,,,,,,,
,182,MWI,Malawi,,,,,,,,,,,
,184,MOZ,Mozambique,,,,,,,,,,,
,185,RWA,Rwanda,,,,,,,,,,,
,187,SOM,Somalia,,,,,,,,,,,
,435,SSD,South Sudan,,,,,,,,,,,
,189,TZA,Tanzania,,,,,,,,,,,
,190,UGA,Uganda,,,,,,,,,,,
,191,ZMB,Zambia,,,,,,,,,,,
,193,BWA,Botswana,,,,,,,,,,,
,194,LSO,Lesotho,,,,,,,,,,,
,195,NAM,Namibia,,,,,,,,,,,
,196,ZAF,South Africa,,,,,,,,,,,
,197,SWZ,Swaziland,,,,,,,,,,,
,198,ZWE,Zimbabwe,,,,,,,,,,,
,200,BEN,Benin,,,,,,,,,,,
,201,BFA,Burkina Faso,,,,,,,,,,,
,202,CMR,Cameroon,,,,,,,,,,,
,203,CPV,Cape Verde,,,,,,,,,,,
,204,TCD,Chad,,,,,,,,,,,
,205,CIV,Cote d'Ivoire,,,,,,,,,,,
,206,GMB,The Gambia,,,,,,,,,,,
,207,GHA,Ghana,,,,,,,,,,,
,208,GIN,Guinea,,,,,,,,,,,
,209,GNB,Guinea-Bissau,,,,,,,,,,,
,210,LBR,Liberia,,,,,,,,,,,
,211,MLI,Mali,,,,,,,,,,,
,212,MRT,Mauritania,,,,,,,,,,,
,213,NER,Niger,,,,,,,,,,,
,214,NGA,Nigeria,,,,,,,,,,,
,215,STP,Sao Tome and Principe,,,,,,,,,,,
,216,SEN,Senegal,,,,,,,,,,,
,217,SLE,Sierra Leone,,,,,,,,,,,
,218,TGO,Togo,,,,,,,,,,,
,4621,GBR_4621,East Midlands,,,,,,,,,,,
,4623,GBR_4623,East of England,,,,,,,,,,,
,4624,GBR_4624,Greater London,,,,,,,,,,,
,4618,GBR_4618,North East England,,,,,,,,,,,
,4619,GBR_4619,North West England,,,,,,,,,,,
,4625,GBR_4625,South East England,,,,,,,,,,,
,4626,GBR_4626,South West England,,,,,,,,,,,
,4622,GBR_4622,West Midlands,,,,,,,,,,,
,4620,GBR_4620,Yorkshire and the Humber,,,,,,,,,,,
